iter	RMSE
0	0.8836855177
1	0.8527541444
2	0.8228569867
3	0.7942224363
4	0.7662516458
5	0.7411431767
6	0.7193368312
7	0.6957172587
8	0.672473713
9	0.6501652602
10	0.6284927629
11	0.6092655253
12	0.5907141824
13	0.5738559517
14	0.5572815624
15	0.541068201
16	0.5242385068
17	0.509037624
18	0.4945759217
19	0.4814680602
20	0.4693204439
21	0.4571516302
22	0.4455857809
23	0.4340761589
24	0.4224633815
25	0.4126774072
26	0.402676927
27	0.3937230459
28	0.3856224792
29	0.3765777762
30	0.3679876119
31	0.3600563181
32	0.3529407519
33	0.3458164385
34	0.3395548265
35	0.3328910194
36	0.327020267
37	0.3207972637
38	0.3155651735
39	0.310624868
40	0.3050831148
41	0.3000107165
42	0.2958304792
43	0.2911666367
44	0.2868783027
45	0.2830189683
46	0.2793329365
47	0.2755894487
48	0.2718652529
49	0.2682517342
50	0.2652376903
51	0.261764612
52	0.2591693809
53	0.2561938784
54	0.2537510046
55	0.2512867331
56	0.2491239932
57	0.246502496
58	0.2441632425
59	0.2419089928
60	0.2399909265
61	0.2382670075
62	0.2362139762
63	0.2343902919
64	0.2325141468
65	0.2311709215
66	0.2296981124
67	0.2277590861
68	0.2264951996
69	0.2247475481
70	0.2233437906
71	0.2218723813
72	0.220569398
73	0.2193239963
74	0.2181143449
75	0.217159048
76	0.2159492647
77	0.2147657238
78	0.2135749799
79	0.2125627295
80	0.2114551051
81	0.2106185427
82	0.2095943005
83	0.208558408
84	0.2077021243
85	0.2068359856
86	0.2061751554
87	0.2052335729
88	0.2044321128
89	0.2036909063
90	0.2029474934
91	0.2022089787
92	0.2014009978
93	0.2008262292
94	0.2001280137
95	0.1995231144
96	0.1989846005
97	0.1983662848
98	0.1979359173
99	0.1974843612
100	0.1969361926
101	0.196338388
102	0.1957676748
103	0.1954274626
104	0.1949861447
105	0.1946669716
106	0.1941233706
107	0.1936841992
108	0.1933349784
109	0.1929516254
110	0.1925061881
111	0.1921314596
112	0.1917488249
113	0.1913298114
114	0.1909871061
115	0.1906012731
116	0.1902153625
117	0.189949053
118	0.1896295942
119	0.1892776819
120	0.1890103229
121	0.188685965
122	0.1883566481
123	0.1880539139
124	0.1877573514
125	0.1875417043
126	0.1873156812
127	0.1870940643
128	0.1868184454
129	0.1866126631
130	0.1863415282
131	0.1860416105
132	0.1857784128
133	0.1854815906
134	0.1852477299
135	0.1849809591
136	0.1847510222
137	0.1844572458
138	0.1842881615
139	0.1840828062
140	0.1838644321
141	0.1836821786
142	0.1835240067
143	0.1833390237
144	0.1831552883
145	0.1829153053
146	0.1825917124
147	0.1823629313
148	0.18215717
149	0.1819732264
150	0.1818017097
151	0.1816286811
152	0.1814086894
153	0.1811646126
154	0.1809918555
155	0.1808114724
156	0.1806813668
157	0.1805623707
158	0.1803903925
159	0.1802238258
160	0.1800661204
161	0.1798974048
162	0.1796887205
163	0.1795878715
164	0.1794039499
165	0.1792237037
166	0.1790853821
167	0.1789537114
168	0.1785914543
169	0.1784902076
170	0.178370684
171	0.1782345339
172	0.1780889896
173	0.1779520135
174	0.1778213505
175	0.177663069
176	0.1773839374
177	0.1772762689
178	0.1771495226
179	0.1768996006
