iter	Passed	Remaining
0	59	59401
1	59	29906
2	60	20060
3	60	15163
4	61	12204
5	61	10225
6	62	8810
7	62	7803
8	63	6979
9	63	6329
10	64	5787
11	64	5337
12	65	4960
13	65	4638
14	66	4356
15	66	4116
16	67	3901
17	67	3704
18	68	3529
19	68	3377
20	69	3233
21	69	3105
22	70	2982
23	71	2907
24	72	2813
25	72	2718
26	73	2635
27	73	2556
28	74	2480
29	74	2416
30	75	2355
31	75	2295
32	76	2239
33	76	2183
34	77	2131
35	77	2085
36	78	2041
37	79	2000
38	79	1957
39	79	1919
40	80	1880
41	80	1843
42	81	1813
43	82	1782
44	82	1752
45	82	1721
46	83	1691
47	83	1665
48	84	1640
49	85	1615
50	85	1590
51	86	1568
52	86	1544
53	87	1526
54	87	1506
55	88	1489
56	88	1468
57	89	1447
58	89	1431
59	90	1416
60	90	1398
61	91	1382
62	91	1367
63	92	1353
64	93	1338
65	93	1323
66	94	1310
67	94	1299
68	95	1285
69	95	1274
70	96	1263
71	97	1250
72	97	1239
73	98	1228
74	98	1218
75	99	1208
76	100	1200
77	100	1189
78	101	1179
79	101	1168
80	102	1161
81	102	1150
82	103	1143
83	104	1141
84	105	1132
85	105	1123
86	106	1115
87	106	1107
88	107	1099
89	108	1092
90	108	1084
91	108	1075
92	109	1067
93	110	1060
94	110	1053
95	111	1047
96	111	1040
97	112	1033
98	112	1025
99	113	1018
100	113	1011
101	114	1005
102	114	999
103	115	992
104	115	985
105	116	978
106	116	974
107	117	972
108	118	967
109	118	961
110	119	955
111	119	948
112	120	942
113	120	936
114	120	930
115	121	925
116	121	920
117	122	915
118	123	911
119	123	906
120	124	901
121	124	897
122	125	892
123	125	887
124	126	883
125	126	879
126	127	876
127	128	872
128	128	868
129	129	864
130	129	860
131	130	856
132	130	851
133	131	848
134	131	844
135	132	840
136	132	835
137	133	832
138	133	827
139	134	823
140	134	820
141	135	817
142	135	813
143	136	809
144	136	806
145	137	803
146	137	800
147	138	796
148	139	797
149	140	794
150	140	791
151	141	787
152	141	783
153	142	780
154	142	777
155	143	774
156	143	772
157	144	768
158	144	765
159	145	762
160	145	760
161	146	756
162	146	753
163	147	750
164	147	747
165	148	743
166	148	740
167	148	737
168	149	735
169	149	732
170	150	728
171	150	726
172	151	724
173	152	721
174	152	718
175	152	716
176	153	713
177	154	711
178	154	708
179	155	706
180	155	704
181	156	702
182	156	700
183	157	698
184	158	696
185	158	693
186	159	691
187	159	689
188	160	687
189	160	684
190	161	682
191	161	680
192	162	678
193	162	676
194	163	674
195	163	672
196	164	670
197	165	668
198	165	667
199	166	665
200	167	663
201	167	661
202	167	659
203	168	657
204	169	656
205	169	654
206	170	652
207	170	650
208	171	648
209	171	646
210	172	644
211	172	642
212	173	640
213	173	638
214	174	637
215	174	634
216	175	632
217	175	631
218	176	628
219	176	626
220	177	625
221	177	623
222	178	621
223	178	619
224	179	618
225	179	616
226	180	614
227	181	613
228	181	611
229	182	609
230	182	607
231	183	605
232	183	604
233	184	602
234	184	600
235	185	599
236	185	598
237	186	596
238	186	595
239	187	593
240	188	592
241	188	590
242	189	589
243	189	587
244	190	586
245	190	584
246	191	583
247	191	581
248	192	579
249	192	577
250	193	576
251	193	574
252	194	573
253	194	571
254	194	569
255	195	568
256	196	566
257	196	565
258	197	564
259	197	562
260	198	560
261	198	559
262	199	558
263	199	556
264	200	555
265	200	554
266	201	553
267	202	552
268	202	550
269	203	549
270	203	548
271	204	546
272	204	545
273	205	544
274	206	543
275	206	542
276	207	540
277	207	539
278	208	538
279	208	536
280	209	535
281	209	534
282	210	533
283	210	531
284	211	530
285	211	528
286	212	527
287	212	526
288	213	524
289	213	523
290	214	522
291	214	521
292	215	519
293	215	518
294	216	517
295	217	516
296	217	514
297	218	513
298	218	512
299	219	511
300	219	510
301	220	509
302	220	508
303	221	507
304	221	505
305	222	504
306	223	503
307	223	502
308	224	501
309	224	500
310	225	499
311	225	498
312	226	497
313	227	496
314	227	494
315	228	493
316	228	492
317	229	491
318	229	490
319	230	489
320	230	488
321	231	487
322	231	485
323	232	484
324	232	483
325	233	482
326	233	481
327	234	480
328	234	479
329	235	478
330	235	476
331	236	475
332	236	474
333	237	473
334	237	472
335	238	470
336	238	469
337	239	468
338	239	467
339	240	466
340	240	465
341	241	464
342	242	463
343	243	463
344	243	462
345	244	461
346	244	460
347	245	459
348	245	458
349	246	457
350	246	456
351	247	455
352	247	454
353	248	453
354	249	452
355	249	451
356	250	450
357	250	449
358	251	448
359	251	447
360	252	446
361	252	445
362	253	444
363	254	443
364	254	443
365	255	442
366	255	441
367	256	440
368	256	439
369	257	438
370	257	437
371	258	436
372	259	435
373	259	434
374	260	434
375	261	433
376	261	432
377	262	431
378	262	430
379	263	429
380	263	428
381	264	427
382	265	426
383	265	426
384	266	425
385	266	424
386	267	423
387	267	422
388	268	421
389	268	420
390	269	419
391	270	418
392	270	417
393	271	416
394	271	416
395	272	415
396	272	414
397	273	413
398	273	412
399	274	411
400	274	410
401	275	409
402	275	408
403	276	407
404	276	406
405	277	405
406	277	404
407	278	404
408	279	403
409	279	402
410	280	401
411	280	400
412	281	399
413	281	398
414	282	398
415	282	397
416	283	396
417	284	395
418	284	394
419	285	393
420	285	392
421	286	392
422	287	392
423	287	391
424	288	390
425	289	389
426	289	388
427	290	387
428	290	387
429	291	386
430	292	385
431	292	384
432	293	383
433	293	382
434	294	382
435	294	381
436	295	380
437	295	379
